PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,FamilySize,IsAlone,HasCabin,Sex_Encoded,Embarked_Encoded,Title_Encoded,AgeGroup_Encoded,FareBin_Encoded
187,1,3,31.0,1,0,15.5,2,0,0,0,1,3,0,0
188,1,1,45.0,0,0,26.55,1,1,0,1,2,2,2,0
189,0,3,40.0,1,1,15.5,3,0,0,1,1,2,2,0
190,0,3,36.0,0,0,7.8958,1,1,0,1,2,2,2,1
191,1,2,32.0,0,0,13.0,1,1,0,0,2,3,0,2
192,0,2,19.0,0,0,13.0,1,1,0,1,2,2,0,2
193,1,3,19.0,1,0,7.8542,2,0,0,0,2,1,0,1
194,1,2,3.0,1,1,26.0,3,0,1,1,2,0,1,0
195,1,1,44.0,0,0,27.7208,1,1,1,0,0,3,2,0
196,1,1,58.0,0,0,146.5208,1,1,1,0,0,1,2,3
197,0,3,26.0,0,0,7.75,1,1,0,1,1,2,0,1
198,0,3,42.0,0,1,8.4042,2,0,0,1,2,2,2,2
199,1,3,18.0,0,0,7.75,1,1,0,0,1,1,4,1
200,0,2,24.0,0,0,13.0,1,1,0,0,2,1,0,2
201,0,3,28.0,0,0,9.5,1,1,0,1,2,2,0,2
202,0,3,26.0,8,2,69.55,11,0,0,1,2,2,0,3
203,0,3,34.0,0,0,6.4958,1,1,0,1,2,2,0,1
204,0,3,45.5,0,0,7.225,1,1,0,1,0,2,2,1
205,1,3,18.0,0,0,8.05,1,1,0,1,2,2,4,2
206,0,3,2.0,0,1,10.4625,2,0,1,0,2,1,1,2
207,0,3,32.0,1,0,15.85,2,0,0,1,2,2,0,0
208,1,3,26.0,0,0,18.7875,1,1,0,1,0,2,0,0
209,1,3,16.0,0,0,7.75,1,1,0,0,1,1,4,1
210,1,1,40.0,0,0,31.0,1,1,1,1,0,2,2,0
211,0,3,24.0,0,0,7.05,1,1,0,1,2,2,0,1
212,1,2,35.0,0,0,21.0,1,1,0,0,2,1,0,0
213,0,3,22.0,0,0,7.25,1,1,0,1,2,2,0,1
214,0,2,30.0,0,0,13.0,1,1,0,1,2,2,0,2
215,0,3,26.0,1,0,7.75,2,0,0,1,1,2,0,1
216,1,1,31.0,1,0,113.275,2,0,1,0,0,1,0,3
217,1,3,27.0,0,0,7.925,1,1,0,0,2,1,0,2
218,0,2,42.0,1,0,27.0,2,0,0,1,2,2,2,0
219,1,1,32.0,0,0,76.2917,1,1,1,0,0,1,0,3
220,0,2,30.0,0,0,10.5,1,1,0,1,2,2,0,2
221,1,3,16.0,0,0,8.05,1,1,0,1,2,2,4,2
222,0,2,27.0,0,0,13.0,1,1,0,1,2,2,0,2
223,0,3,51.0,0,0,8.05,1,1,0,1,2,2,2,2
224,0,3,26.0,0,0,7.8958,1,1,0,1,2,2,0,1
225,1,1,38.0,1,0,90.0,2,0,1,1,2,2,2,3
226,0,3,22.0,0,0,9.35,1,1,0,1,2,2,0,2
227,1,2,19.0,0,0,10.5,1,1,0,1,2,2,0,2
228,0,3,20.5,0,0,7.25,1,1,0,1,2,2,0,1
229,0,2,18.0,0,0,13.0,1,1,0,1,2,2,4,2
230,0,3,18.0,3,1,25.4667,5,0,0,0,2,1,4,0
231,1,1,35.0,1,0,83.475,2,0,1,0,2,3,0,3
232,0,3,29.0,0,0,7.775,1,1,0,1,2,2,0,1
233,0,2,59.0,0,0,13.5,1,1,0,1,2,2,2,2
234,1,3,5.0,4,2,31.3875,7,0,0,0,2,1,1,3
235,0,2,24.0,0,0,10.5,1,1,0,1,2,2,0,2
236,0,3,18.0,0,0,7.55,1,1,0,0,2,1,4,1
237,0,2,44.0,1,0,26.0,2,0,0,1,2,2,2,0
238,1,2,8.0,0,2,26.25,3,0,0,0,2,1,1,0
239,0,2,19.0,0,0,10.5,1,1,0,1,2,2,0,2
240,0,2,33.0,0,0,12.275,1,1,0,1,2,2,0,2
241,0,3,18.0,1,0,14.4542,2,0,0,0,0,1,4,2
242,1,3,18.0,1,0,15.5,2,0,0,0,1,1,4,0
243,0,2,29.0,0,0,10.5,1,1,0,1,2,2,0,2
244,0,3,22.0,0,0,7.125,1,1,0,1,2,2,0,1
245,0,3,30.0,0,0,7.225,1,1,0,1,0,2,0,1
246,0,1,44.0,2,0,90.0,3,0,1,1,1,4,2,3
247,0,3,25.0,0,0,7.775,1,1,0,0,2,1,0,1
248,1,2,24.0,0,2,14.5,3,0,0,0,2,3,0,0
249,1,1,37.0,1,1,52.5542,3,0,1,1,2,2,2,3
250,0,2,54.0,1,0,26.0,2,0,0,1,2,4,2,0
251,0,3,26.0,0,0,7.25,1,1,0,1,2,2,0,1
252,0,3,29.0,1,1,10.4625,3,0,1,0,2,3,0,2
253,0,1,62.0,0,0,26.55,1,1,1,1,2,2,3,0
254,0,3,30.0,1,0,16.1,2,0,0,1,2,2,0,0
255,0,3,41.0,0,2,20.2125,3,0,0,0,2,3,2,0
256,1,3,29.0,0,2,15.2458,3,0,0,0,0,3,0,0
257,1,1,40.0,0,0,79.2,1,1,0,0,0,3,2,3
258,1,1,30.0,0,0,86.5,1,1,1,0,2,1,0,3
259,1,1,35.0,0,0,512.3292,1,1,0,0,0,1,0,3
260,1,2,50.0,0,1,26.0,2,0,0,0,2,3,2,0
261,0,3,26.0,0,0,7.75,1,1,0,1,1,2,0,1
262,1,3,3.0,4,2,31.3875,7,0,0,1,2,0,1,3
263,0,1,52.0,1,1,79.65,3,0,1,1,2,2,2,3
264,0,1,40.0,0,0,0.0,1,1,1,1,2,2,2,1
265,0,3,18.0,0,0,7.75,1,1,0,0,1,1,4,1
266,0,2,36.0,0,0,10.5,1,1,0,1,2,2,2,2
267,0,3,16.0,4,1,39.6875,6,0,0,1,2,2,4,3
268,1,3,25.0,1,0,7.775,2,0,0,1,2,2,0,1
269,1,1,58.0,0,1,153.4625,2,0,1,0,2,3,2,3
270,1,1,35.0,0,0,135.6333,1,1,1,0,2,1,0,3
271,0,1,40.0,0,0,31.0,1,1,0,1,2,2,2,0
272,1,3,25.0,0,0,0.0,1,1,0,1,2,2,0,1
273,1,2,41.0,0,1,19.5,2,0,0,0,2,3,2,0
274,0,1,37.0,0,1,29.7,2,0,1,1,0,2,2,0
275,1,3,18.0,0,0,7.75,1,1,0,0,1,1,4,1
276,1,1,63.0,1,0,77.9583,2,0,1,0,2,1,3,3
277,0,3,45.0,0,0,7.75,1,1,0,0,2,1,2,1
278,0,2,31.0,0,0,0.0,1,1,0,1,2,2,0,1
279,0,3,7.0,4,1,29.125,6,0,0,1,1,0,1,0
280,1,3,35.0,1,1,20.25,3,0,0,0,2,3,0,0
281,0,3,65.0,0,0,7.75,1,1,0,1,1,2,3,1
282,0,3,28.0,0,0,7.8542,1,1,0,1,2,2,0,1
283,0,3,16.0,0,0,9.5,1,1,0,1,2,2,4,2
284,1,3,19.0,0,0,8.05,1,1,0,1,2,2,0,2
285,0,1,40.0,0,0,26.0,1,1,1,1,2,2,2,0
286,0,3,33.0,0,0,8.6625,1,1,0,1,0,2,0,2
287,1,3,30.0,0,0,9.5,1,1,0,1,2,2,0,2
288,0,3,22.0,0,0,7.8958,1,1,0,1,2,2,0,1
289,1,2,42.0,0,0,13.0,1,1,0,1,2,2,2,2
290,1,3,22.0,0,0,7.75,1,1,0,0,1,1,0,1
291,1,1,26.0,0,0,78.85,1,1,0,0,2,1,0,3
292,1,1,19.0,1,0,91.0792,2,0,1,0,0,3,0,3
293,0,2,36.0,0,0,12.875,1,1,1,1,0,2,2,2
294,0,3,24.0,0,0,8.85,1,1,0,0,2,1,0,2
295,0,3,24.0,0,0,7.8958,1,1,0,1,2,2,0,1
296,0,1,40.0,0,0,27.7208,1,1,0,1,0,2,2,0
297,0,3,23.5,0,0,7.2292,1,1,0,1,0,2,0,1
298,0,1,2.0,1,2,151.55,4,0,1,0,2,1,1,3
299,1,1,40.0,0,0,30.5,1,1,1,1,2,2,2,0
300,1,1,50.0,0,1,247.5208,2,0,1,0,0,3,2,3
301,1,3,18.0,0,0,7.75,1,1,0,0,1,1,4,1
302,1,3,26.0,2,0,23.25,3,0,0,1,1,2,0,0
303,0,3,19.0,0,0,0.0,1,1,0,1,2,2,0,1
304,1,2,24.0,0,0,12.35,1,1,1,0,1,1,0,2
305,0,3,26.0,0,0,8.05,1,1,0,1,2,2,0,2
306,1,1,0.92,1,2,151.55,4,0,1,1,2,0,1,3
307,1,1,30.0,0,0,110.8833,1,1,0,0,0,1,0,3
308,1,1,17.0,1,0,108.9,2,0,1,0,0,3,4,3
309,0,2,30.0,1,0,24.0,2,0,0,1,0,2,0,0
310,1,1,30.0,0,0,56.9292,1,1,1,0,0,1,0,3
311,1,1,24.0,0,0,83.1583,1,1,1,0,0,1,0,3
312,1,1,18.0,2,2,262.375,5,0,1,0,0,1,4,3
313,0,2,26.0,1,1,26.0,3,0,0,0,2,3,0,0
314,0,3,28.0,0,0,7.8958,1,1,0,1,2,2,0,1
315,0,2,43.0,1,1,26.25,3,0,0,1,2,2,2,0
316,1,3,26.0,0,0,7.8542,1,1,0,0,2,1,0,1
317,1,2,24.0,1,0,26.0,2,0,0,0,2,3,0,0
318,0,2,54.0,0,0,14.0,1,1,0,1,2,4,2,2
319,1,1,31.0,0,2,164.8667,3,0,1,0,2,1,0,3
320,1,1,40.0,1,1,134.5,3,0,1,0,0,3,2,3
321,0,3,22.0,0,0,7.25,1,1,0,1,2,2,0,1
322,0,3,27.0,0,0,7.8958,1,1,0,1,2,2,0,1
323,1,2,30.0,0,0,12.35,1,1,0,0,1,1,0,2
324,1,2,22.0,1,1,29.0,3,0,0,0,2,3,0,0
325,0,3,26.0,8,2,69.55,11,0,0,1,2,2,0,3
326,1,1,36.0,0,0,135.6333,1,1,1,0,0,1,2,3
327,0,3,61.0,0,0,6.2375,1,1,0,1,2,2,3,1
328,1,2,36.0,0,0,13.0,1,1,1,0,2,3,2,2
329,1,3,31.0,1,1,20.525,3,0,0,0,2,3,0,0
330,1,1,16.0,0,1,57.9792,2,0,1,0,0,1,4,3
331,1,3,18.0,2,0,23.25,3,0,0,0,1,1,4,0
332,0,1,45.5,0,0,28.5,1,1,1,1,2,2,2,0
333,0,1,38.0,0,1,153.4625,2,0,1,1,2,2,2,3
334,0,3,16.0,2,0,18.0,3,0,0,1,2,2,4,0
335,1,1,40.0,1,0,133.65,2,0,0,0,2,3,2,3
336,0,3,26.0,0,0,7.8958,1,1,0,1,2,2,0,1
337,0,1,29.0,1,0,66.6,2,0,1,1,2,2,0,3
338,1,1,41.0,0,0,134.5,1,1,1,0,0,1,2,3
339,1,3,45.0,0,0,8.05,1,1,0,1,2,2,2,2
340,0,1,45.0,0,0,35.5,1,1,1,1,2,2,2,3
341,1,2,2.0,1,1,26.0,3,0,1,1,2,0,1,0
342,1,1,24.0,3,2,263.0,6,0,1,0,2,1,0,3
343,0,2,28.0,0,0,13.0,1,1,0,1,2,2,0,2
344,0,2,25.0,0,0,13.0,1,1,0,1,2,2,0,2
345,0,2,36.0,0,0,13.0,1,1,0,1,2,2,2,2
346,1,2,24.0,0,0,13.0,1,1,1,0,2,1,0,2
347,1,2,40.0,0,0,13.0,1,1,0,0,2,1,2,2
348,1,3,31.0,1,0,16.1,2,0,0,0,2,3,0,0
349,1,3,3.0,1,1,15.9,3,0,0,1,2,0,1,0
350,0,3,42.0,0,0,8.6625,1,1,0,1,2,2,2,2
351,0,3,23.0,0,0,9.225,1,1,0,1,2,2,0,2
352,0,1,40.0,0,0,35.0,1,1,1,1,2,2,2,3
353,0,3,15.0,1,1,7.2292,3,0,0,1,0,2,4,1
354,0,3,25.0,1,0,17.8,2,0,0,1,2,2,0,0
355,0,3,26.0,0,0,7.225,1,1,0,1,0,2,0,1
356,0,3,28.0,0,0,9.5,1,1,0,1,2,2,0,2
357,1,1,22.0,0,1,55.0,2,0,1,0,2,1,0,3
358,0,2,38.0,0,0,13.0,1,1,0,0,2,1,2,2
359,1,3,18.0,0,0,7.8792,1,1,0,0,1,1,4,1
360,1,3,18.0,0,0,7.8792,1,1,0,0,1,1,4,1
361,0,3,40.0,1,4,27.9,6,0,0,1,2,2,2,0
362,0,2,29.0,1,0,27.7208,2,0,0,1,0,2,0,0
363,0,3,45.0,0,1,14.4542,2,0,0,0,0,3,2,2
364,0,3,35.0,0,0,7.05,1,1,0,1,2,2,0,1
365,0,3,26.0,1,0,15.5,2,0,0,1,1,2,0,0
366,0,3,30.0,0,0,7.25,1,1,0,1,2,2,0,1
367,1,1,60.0,1,0,75.25,2,0,1,0,0,3,2,3
368,1,3,31.0,0,0,7.2292,1,1,0,0,0,3,0,1
369,1,3,18.0,0,0,7.75,1,1,0,0,1,1,4,1
370,1,1,24.0,0,0,69.3,1,1,1,0,0,3,0,3
371,1,1,25.0,1,0,55.4417,2,0,1,1,0,2,0,3
372,0,3,18.0,1,0,6.4958,2,0,0,1,2,2,4,1
373,0,3,19.0,0,0,8.05,1,1,0,1,2,2,0,2
374,0,1,22.0,0,0,135.6333,1,1,0,1,0,2,0,3
375,0,3,3.0,3,1,21.075,5,0,0,0,2,1,1,0
376,1,1,40.0,1,0,82.1708,2,0,0,0,0,3,2,3
377,1,3,22.0,0,0,7.25,1,1,0,0,2,1,0,1
378,0,1,27.0,0,2,211.5,3,0,1,1,0,2,0,3
379,0,3,20.0,0,0,4.0125,1,1,0,1,0,2,0,1
380,0,3,19.0,0,0,7.775,1,1,0,1,2,2,0,1
381,1,1,42.0,0,0,227.525,1,1,0,0,0,1,2,3
382,1,3,1.0,0,2,15.7417,3,0,0,0,0,1,1,0
383,0,3,32.0,0,0,7.925,1,1,0,1,2,2,0,2
384,1,1,35.0,1,0,52.0,2,0,0,0,2,3,0,3
385,0,3,26.0,0,0,7.8958,1,1,0,1,2,2,0,1
386,0,2,18.0,0,0,73.5,1,1,0,1,2,2,4,3
387,0,3,1.0,5,2,46.9,8,0,0,1,2,0,1,3
388,1,2,36.0,0,0,13.0,1,1,0,0,2,1,2,2
389,0,3,26.0,0,0,7.7292,1,1,0,1,1,2,0,1
390,1,2,17.0,0,0,12.0,1,1,0,0,0,1,4,2
391,1,1,36.0,1,2,120.0,4,0,1,1,2,2,2,3
392,1,3,21.0,0,0,7.7958,1,1,0,1,2,2,0,1
393,0,3,28.0,2,0,7.925,3,0,0,1,2,2,0,2
394,1,1,23.0,1,0,113.275,2,0,1,0,0,1,0,3
395,1,3,24.0,0,2,16.7,3,0,1,0,2,3,0,0
396,0,3,22.0,0,0,7.7958,1,1,0,1,2,2,0,1
397,0,3,31.0,0,0,7.8542,1,1,0,0,2,1,0,1
398,0,2,46.0,0,0,26.0,1,1,0,1,2,2,2,0
399,0,2,23.0,0,0,10.5,1,1,0,1,2,4,0,2
400,1,2,28.0,0,0,12.65,1,1,0,0,2,3,0,2
401,1,3,39.0,0,0,7.925,1,1,0,1,2,2,2,2
402,0,3,26.0,0,0,8.05,1,1,0,1,2,2,0,2
